4, optimal,genetic_algorithm_repair_mode_0_cutting_type_1,genetic_algorithm_repair_mode_1_cutting_type_1,genetic_algorithm_repair_mode_2_cutting_type_1
0, 168551.000000, 183847.000000, 179511.000000, 179971.000000
1, 168313.000000, 185136.000000, 182756.000000, 179661.000000
2, 165651.000000, 185001.000000, 182920.000000, 175655.000000
3, 166727.000000, 185384.000000, 186065.000000, 177000.000000
4, 164886.000000, 184707.000000, 179800.000000, 177189.000000
5, 163061.000000, 179866.000000, 178690.000000, 173343.000000
6, 168007.000000, 189302.000000, 181338.000000, 179223.000000
7, 169557.000000, 184838.000000, 183862.000000, 178978.000000
8, 161910.000000, 180523.000000, 176336.000000, 171326.000000
9, 165385.000000, 180933.000000, 180782.000000, 175966.000000
