4, optimal,genetic_algorithm_repair_mode_1_cutting_type_0,genetic_algorithm_repair_mode_1_cutting_type_1,genetic_algorithm_repair_mode_1_cutting_type_2
0, 168551.000000, 185057.000000, 179511.000000, 186805.000000
1, 168313.000000, 181369.000000, 182756.000000, 184422.000000
2, 165651.000000, 185792.000000, 182920.000000, 183184.000000
3, 166727.000000, 185173.000000, 186065.000000, 183046.000000
4, 164886.000000, 181821.000000, 179800.000000, 180545.000000
5, 163061.000000, 178066.000000, 178690.000000, 178075.000000
6, 168007.000000, 181908.000000, 181338.000000, 182824.000000
7, 169557.000000, 188307.000000, 183862.000000, 185292.000000
8, 161910.000000, 177065.000000, 176336.000000, 176615.000000
9, 165385.000000, 180184.000000, 180782.000000, 181739.000000
