2,hard_fixing_0.8, local_branching_10
0, 242992.000000, 244216.000000
1, 236819.000000, 237186.000000
2, 237274.000000, 236218.000000
3, 237476.000000, 238240.000000
4, 237705.000000, 239464.000000
5, 234448.000000, 236677.000000
6, 239387.000000, 241011.000000
7, 239500.000000, 242553.000000
8, 233768.000000, 236034.000000
9, 236233.000000, 238393.000000
